期号,开奖日期,开奖号码,0.236结果,0.206结果
2025160,2025-06-19,"5,0,3",118.708,103.618
2025159,2025-06-18,"0,7,3",17.228,15.038
2025158,2025-06-17,"7,0,1",165.436,144.406
2025157,2025-06-16,"9,6,9",228.684,199.614
2025156,2025-06-15,"7,7,5",182.9,159.65
2025155,2025-06-14,"4,9,9",117.764,102.794
2025154,2025-06-13,"9,2,3",217.828,190.138
2025153,2025-06-12,"0,6,9",16.284,14.214
2025152,2025-06-11,"2,1,0",49.56,43.26
2025151,2025-06-10,"7,1,8",169.448,147.908
2025150,2025-06-09,"3,2,1",75.756,66.126
2025149,2025-06-08,"7,3,4",173.224,151.204
2025148,2025-06-07,"8,3,8",197.768,172.628
2025147,2025-06-06,"3,2,1",75.756,66.126
2025146,2025-06-05,"8,9,7",211.692,184.782
2025145,2025-06-04,"2,6,7",63.012,55.002
2025144,2025-06-03,"6,6,6",157.176,137.196
2025143,2025-06-02,"2,5,6",60.416,52.736
2025142,2025-06-01,"9,1,6",216.176,188.696
2025141,2025-05-31,"2,0,2",47.672,41.612
2025140,2025-05-30,"1,4,9",35.164,30.694
2025139,2025-05-29,"5,9,8",141.128,123.188
2025138,2025-05-28,"2,9,6",69.856,60.976
2025137,2025-05-27,"8,3,8",197.768,172.628
2025136,2025-05-26,"1,1,3",26.668,23.278
2025135,2025-05-25,"4,5,8",108.088,94.348
2025134,2025-05-24,"7,4,8",176.528,154.088
2025133,2025-05-23,"6,4,5",152.22,132.87
2025132,2025-05-22,"6,8,9",162.604,141.934
2025131,2025-05-21,"2,0,3",47.908,41.818
2025130,2025-05-20,"2,0,4",48.144,42.024
2025129,2025-05-19,"9,1,5",215.94,188.49
2025128,2025-05-18,"8,1,4",192.104,167.684
2025127,2025-05-17,"4,3,1",101.716,88.786
2025126,2025-05-16,"3,2,0",75.52,65.92
2025125,2025-05-15,"3,5,1",82.836,72.306
2025124,2025-05-14,"8,0,9",190.924,166.654
2025123,2025-05-13,"7,2,5",171.1,149.35
2025122,2025-05-12,"4,8,8",115.168,100.528
2025121,2025-05-11,"1,2,0",28.32,24.72
2025120,2025-05-10,"9,1,2",215.232,187.872
2025119,2025-05-09,"3,1,5",74.34,64.89
2025118,2025-05-08,"6,2,1",146.556,127.926
2025117,2025-05-07,"8,4,9",200.364,174.894
2025116,2025-05-06,"3,2,0",75.52,65.92
2025115,2025-05-05,"2,0,6",48.616,42.436
2025114,2025-05-04,"3,7,5",88.5,77.25
2025113,2025-05-03,"6,3,5",149.86,130.81
2025112,2025-05-02,"9,5,4",225.144,196.524
2025111,2025-05-01,"2,7,0",63.72,55.62
2025110,2025-04-30,"9,1,4",215.704,188.284
2025109,2025-04-29,"8,4,1",198.476,173.246
2025108,2025-04-28,"4,0,7",96.052,83.842
2025107,2025-04-27,"0,2,7",6.372,5.562
2025106,2025-04-26,"7,5,2",177.472,154.912
2025105,2025-04-25,"0,1,5",3.54,3.09
2025104,2025-04-24,"8,7,7",206.972,180.662
2025103,2025-04-23,"3,7,0",87.32,76.22
2025102,2025-04-22,"1,6,1",37.996,33.166
2025101,2025-04-21,"0,1,6",3.776,3.296
2025100,2025-04-20,"9,5,3",224.908,196.318
2025099,2025-04-19,"7,0,7",166.852,145.642
2025098,2025-04-18,"7,1,4",168.504,147.084
2025097,2025-04-17,"5,4,2",127.912,111.652
2025096,2025-04-16,"3,8,5",90.86,79.31
2025095,2025-04-15,"0,6,8",16.048,14.008
2025094,2025-04-14,"6,4,9",153.164,133.694
2025093,2025-04-13,"5,4,5",128.62,112.27
2025092,2025-04-12,"3,1,7",74.812,65.302
2025091,2025-04-11,"1,3,5",31.86,27.81
2025090,2025-04-10,"1,5,9",37.524,32.754
2025089,2025-04-09,"6,5,8",155.288,135.548
2025088,2025-04-08,"0,2,2",5.192,4.532
2025087,2025-04-07,"8,2,6",194.936,170.156
2025086,2025-04-06,"3,8,8",91.568,79.928
2025085,2025-04-05,"3,3,8",79.768,69.628
2025084,2025-04-04,"0,3,0",7.08,6.18
2025083,2025-04-03,"9,1,5",215.94,188.49
2025082,2025-04-02,"4,1,7",98.412,85.902
2025081,2025-04-01,"4,0,3",95.108,83.018
2025080,2025-03-31,"5,0,0",118.0,103.0
2025079,2025-03-30,"6,5,7",155.052,135.342
2025078,2025-03-29,"0,0,0",0.0,0.0
2025077,2025-03-28,"6,2,5",147.5,128.75
2025076,2025-03-27,"7,8,1",184.316,160.886
2025075,2025-03-26,"7,0,9",167.324,146.054
2025074,2025-03-25,"4,1,9",98.884,86.314
2025073,2025-03-24,"7,7,8",183.608,160.268
2025072,2025-03-23,"2,7,2",64.192,56.032
2025071,2025-03-22,"4,3,4",102.424,89.404
2025070,2025-03-21,"7,4,8",176.528,154.088
2025069,2025-03-20,"9,0,6",213.816,186.636
2025068,2025-03-19,"5,5,5",130.98,114.33
2025067,2025-03-18,"3,8,5",90.86,79.31
2025066,2025-03-17,"7,2,0",169.92,148.32
2025065,2025-03-16,"5,3,8",126.968,110.828
2025064,2025-03-15,"9,2,8",219.008,191.168
2025063,2025-03-14,"4,0,5",95.58,83.43
2025062,2025-03-13,"8,1,0",191.16,166.86
2025061,2025-03-12,"4,7,6",112.336,98.056
2025060,2025-03-11,"9,3,8",221.368,193.228
2025059,2025-03-10,"8,4,7",199.892,174.482
2025058,2025-03-09,"4,0,5",95.58,83.43
2025057,2025-03-08,"3,9,7",93.692,81.782
2025056,2025-03-07,"4,9,2",116.112,101.352
2025055,2025-03-06,"3,6,8",86.848,75.808
2025054,2025-03-05,"4,9,7",117.292,102.382
2025053,2025-03-04,"8,9,5",211.22,184.37
2025052,2025-03-03,"5,8,5",138.06,120.51
2025051,2025-03-02,"9,0,5",213.58,186.43
2025050,2025-03-01,"8,0,6",190.216,166.036
2025049,2025-02-28,"0,0,4",0.944,0.824
2025048,2025-02-27,"6,4,0",151.04,131.84
2025047,2025-02-26,"2,4,8",58.528,51.088
2025046,2025-02-25,"4,9,0",115.64,100.94
2025045,2025-02-24,"5,5,4",130.744,114.124
2025044,2025-02-23,"9,1,2",215.232,187.872
2025043,2025-02-22,"4,7,5",112.1,97.85
2025042,2025-02-21,"7,7,5",182.9,159.65
2025041,2025-02-20,"4,0,1",94.636,82.606
2025040,2025-02-19,"4,2,8",101.008,88.168
2025039,2025-02-18,"9,3,2",219.952,191.992
2025038,2025-02-17,"8,4,7",199.892,174.482
2025037,2025-02-16,"1,3,1",30.916,26.986
2025036,2025-02-15,"6,1,7",145.612,127.102
2025035,2025-02-14,"7,7,8",183.608,160.268
2025034,2025-02-13,"2,6,1",61.596,53.766
2025033,2025-02-12,"6,0,6",143.016,124.836
2025032,2025-02-11,"4,9,9",117.764,102.794
2025031,2025-02-10,"3,7,9",89.444,78.074
2025030,2025-02-09,"3,0,2",71.272,62.212
2025029,2025-02-08,"0,9,6",22.656,19.776
2025028,2025-02-07,"4,0,9",96.524,84.254
2025027,2025-02-06,"3,8,3",90.388,78.898
2025026,2025-01-26,"5,8,8",138.768,121.128
2025025,2025-01-25,"4,8,6",114.696,100.116
2025024,2025-01-24,"7,6,2",179.832,156.972
2025023,2025-01-23,"5,9,1",139.476,121.746
2025022,2025-01-22,"6,3,8",150.568,131.428
2025021,2025-01-21,"4,6,8",110.448,96.408
2025020,2025-01-20,"0,5,6",13.216,11.536
2025019,2025-01-19,"7,1,0",167.56,146.26
2025018,2025-01-18,"8,3,6",197.296,172.216
2025017,2025-01-17,"0,2,7",6.372,5.562
2025016,2025-01-16,"1,0,4",24.544,21.424
2025015,2025-01-15,"9,4,2",222.312,194.052
2025014,2025-01-14,"6,7,9",160.244,139.874
2025013,2025-01-13,"6,0,6",143.016,124.836
2025012,2025-01-12,"4,8,7",114.932,100.322
2025011,2025-01-11,"5,1,8",122.248,106.708
2025010,2025-01-10,"3,3,3",78.588,68.598
2025009,2025-01-09,"4,1,6",98.176,85.696
2025008,2025-01-08,"2,6,0",61.36,53.56
2025007,2025-01-07,"1,4,1",33.276,29.046
2025006,2025-01-06,"8,9,8",211.928,184.988
2025005,2025-01-05,"0,8,5",20.06,17.51
2025004,2025-01-04,"6,3,4",149.624,130.604
2025003,2025-01-03,"2,1,4",50.504,44.084
2025002,2025-01-02,"9,1,6",216.176,188.696
2025001,2025-01-01,"7,0,3",165.908,144.818
2024352,2024-12-31,"2,9,2",68.912,60.152
2024351,2024-12-30,"6,5,7",155.052,135.342
2024350,2024-12-29,"6,7,2",158.592,138.432
2024349,2024-12-28,"1,0,8",25.488,22.248
2024348,2024-12-27,"9,2,8",219.008,191.168
2024347,2024-12-26,"3,9,2",92.512,80.752
2024346,2024-12-25,"0,5,6",13.216,11.536
2024345,2024-12-24,"3,1,7",74.812,65.302
2024344,2024-12-23,"3,0,5",71.98,62.83
2024343,2024-12-22,"2,1,4",50.504,44.084
2024342,2024-12-21,"4,8,3",113.988,99.498
2024341,2024-12-20,"3,7,1",87.556,76.426
2024340,2024-12-19,"2,7,8",65.608,57.268
2024339,2024-12-18,"5,0,9",120.124,104.854
2024338,2024-12-17,"9,7,7",230.572,201.262
2024337,2024-12-16,"8,4,3",198.948,173.658
2024336,2024-12-15,"9,6,4",227.504,198.584
2024335,2024-12-14,"5,9,3",139.948,122.158
2024334,2024-12-13,"5,4,1",127.676,111.446
2024333,2024-12-12,"9,5,1",224.436,195.906
2024332,2024-12-11,"7,6,5",180.54,157.59
2024331,2024-12-10,"9,6,4",227.504,198.584
2024330,2024-12-09,"1,6,7",39.412,34.402
2024329,2024-12-08,"9,1,0",214.76,187.46
2024328,2024-12-07,"3,0,6",72.216,63.036
2024327,2024-12-06,"2,8,0",66.08,57.68
2024326,2024-12-05,"7,2,2",170.392,148.732
2024325,2024-12-04,"1,5,8",37.288,32.548
2024324,2024-12-03,"3,8,4",90.624,79.104
2024323,2024-12-02,"5,3,6",126.496,110.416
2024322,2024-12-01,"8,6,7",204.612,178.602
2024321,2024-11-30,"5,4,2",127.912,111.652
2024320,2024-11-29,"7,7,8",183.608,160.268
2024319,2024-11-28,"7,2,6",171.336,149.556
2024318,2024-11-27,"5,2,5",123.9,108.15
2024317,2024-11-26,"3,8,6",91.096,79.516
2024316,2024-11-25,"7,8,9",186.204,162.534
2024315,2024-11-24,"8,0,2",189.272,165.212
2024314,2024-11-23,"6,7,2",158.592,138.432
